response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0239,0.0070,0.0000,0.0001,0.0168,0.0000,200,22.3035
0.0266,0.0070,0.0000,0.0001,0.0195,0.0000,200,22.3034
0.0268,0.0071,0.0000,0.0000,0.0196,0.0000,200,22.3034
0.0267,0.0070,0.0000,0.0001,0.0196,0.0000,200,22.3035
0.0287,0.0071,0.0000,0.0000,0.0216,0.0000,200,22.3035
0.0321,0.0071,0.0000,0.0000,0.0249,0.0001,200,22.3035
0.0323,0.0071,0.0000,0.0000,0.0251,0.0001,200,22.3034
0.0394,0.0072,0.0000,0.0000,0.0321,0.0001,200,22.3033
0.0199,0.0081,0.0000,0.0000,0.0116,0.0001,200,22.4032
0.0204,0.0083,0.0000,0.0000,0.0120,0.0001,200,22.4030
0.0208,0.0075,0.0000,0.0000,0.0131,0.0000,200,22.4030
0.0258,0.0081,0.0000,0.0001,0.0176,0.0001,200,22.4033
0.0276,0.0083,0.0000,0.0000,0.0191,0.0001,200,22.4030
0.0274,0.0081,0.0000,0.0001,0.0192,0.0000,200,22.4032
0.0275,0.0081,0.0000,0.0001,0.0193,0.0000,200,22.4032
0.0276,0.0082,0.0000,0.0001,0.0192,0.0001,200,22.4031
0.0290,0.0082,0.0000,0.0000,0.0207,0.0000,200,22.4033
0.0307,0.0081,0.0000,0.0001,0.0225,0.0000,200,22.4033
0.0186,0.0080,0.0000,0.0000,0.0105,0.0001,200,22.5034
0.0188,0.0080,0.0000,0.0000,0.0107,0.0000,200,22.5033
0.0189,0.0081,0.0000,0.0000,0.0107,0.0000,200,22.5032
0.0246,0.0079,0.0000,0.0000,0.0166,0.0000,200,22.5034
0.0299,0.0115,0.0000,0.0000,0.0183,0.0001,200,22.5035
0.0302,0.0115,0.0000,0.0000,0.0186,0.0000,200,22.5034
0.0302,0.0115,0.0000,0.0000,0.0186,0.0000,200,22.5035
0.0323,0.0115,0.0000,0.0000,0.0207,0.0001,200,22.5035
0.0325,0.0115,0.0000,0.0000,0.0209,0.0000,200,22.5035
0.0324,0.0115,0.0000,0.0000,0.0208,0.0000,200,22.5035
0.0190,0.0065,0.0000,0.0000,0.0124,0.0001,200,22.6032
0.0189,0.0065,0.0000,0.0000,0.0123,0.0000,200,22.6033
0.0199,0.0064,0.0000,0.0000,0.0134,0.0001,200,22.6033
0.0209,0.0066,0.0000,0.0000,0.0142,0.0001,200,22.6033
0.0251,0.0066,0.0000,0.0000,0.0184,0.0001,200,22.6031
0.0252,0.0066,0.0000,0.0000,0.0185,0.0001,200,22.6031
0.0251,0.0065,0.0000,0.0000,0.0185,0.0000,200,22.6032
0.0264,0.0065,0.0000,0.0001,0.0197,0.0001,200,22.6032
0.0264,0.0066,0.0000,0.0000,0.0198,0.0000,200,22.6033
0.0305,0.0066,0.0000,0.0000,0.0238,0.0001,200,22.6033
0.0172,0.0069,0.0000,0.0002,0.0099,0.0001,200,22.7031
0.0200,0.0065,0.0000,0.0004,0.0130,0.0001,200,22.7033
0.0224,0.0068,0.0000,0.0002,0.0153,0.0001,200,22.7032
0.0241,0.0069,0.0000,0.0004,0.0167,0.0000,200,22.7030
0.0241,0.0067,0.0000,0.0001,0.0172,0.0000,200,22.7032
0.0241,0.0072,0.0000,0.0000,0.0169,0.0000,200,22.7032
0.0291,0.0068,0.0000,0.0003,0.0220,0.0000,200,22.7033
0.0292,0.0067,0.0000,0.0004,0.0220,0.0000,200,22.7032
0.0292,0.0063,0.0000,0.0008,0.0220,0.0000,200,22.7033
0.0293,0.0066,0.0000,0.0005,0.0222,0.0000,200,22.7032
0.0208,0.0087,0.0000,0.0000,0.0120,0.0001,200,22.8029
0.0243,0.0086,0.0000,0.0000,0.0157,0.0001,200,22.8028
0.0242,0.0086,0.0000,0.0000,0.0156,0.0000,200,22.8029
0.0244,0.0086,0.0000,0.0000,0.0157,0.0001,200,22.8029
0.0243,0.0086,0.0000,0.0000,0.0157,0.0001,200,22.8030
0.0262,0.0087,0.0000,0.0000,0.0174,0.0000,200,22.8030
0.0303,0.0085,0.0000,0.0000,0.0217,0.0000,200,22.8029
0.0302,0.0086,0.0000,0.0000,0.0215,0.0000,200,22.8030
0.0302,0.0086,0.0000,0.0000,0.0215,0.0000,200,22.8030
0.0307,0.0086,0.0000,0.0000,0.0221,0.0000,200,22.8028
0.0188,0.0071,0.0000,0.0000,0.0115,0.0001,200,22.9029
0.0191,0.0072,0.0000,0.0001,0.0117,0.0000,200,22.9029
0.0202,0.0074,0.0000,0.0001,0.0126,0.0000,200,22.9027
0.0234,0.0073,0.0000,0.0000,0.0160,0.0001,200,22.9029
0.0279,0.0073,0.0000,0.0000,0.0205,0.0001,200,22.9029
0.0280,0.0074,0.0000,0.0000,0.0205,0.0000,200,22.9029
0.0278,0.0072,0.0000,0.0000,0.0205,0.0001,200,22.9030
0.0280,0.0072,0.0000,0.0001,0.0206,0.0001,200,22.9029
0.0279,0.0072,0.0000,0.0000,0.0206,0.0001,200,22.9030
0.0384,0.0074,0.0000,0.0001,0.0307,0.0002,200,22.9028
0.0169,0.0068,0.0000,0.0000,0.0101,0.0000,200,23.0023
0.0170,0.0068,0.0000,0.0000,0.0101,0.0000,200,23.0024
0.0208,0.0067,0.0000,0.0000,0.0140,0.0000,200,23.0025
0.0246,0.0099,0.0000,0.0000,0.0147,0.0000,200,23.0026
0.0264,0.0101,0.0000,0.0000,0.0162,0.0000,200,23.0024
0.0261,0.0098,0.0000,0.0000,0.0163,0.0000,200,23.0026
0.0265,0.0099,0.0000,0.0000,0.0165,0.0000,200,23.0025
0.0297,0.0099,0.0000,0.0000,0.0197,0.0000,200,23.0026
0.0297,0.0099,0.0000,0.0000,0.0198,0.0000,200,23.0026
0.0298,0.0099,0.0000,0.0000,0.0198,0.0000,200,23.0025
0.0178,0.0077,0.0000,0.0000,0.0100,0.0001,200,23.1027
0.0230,0.0078,0.0000,0.0001,0.0150,0.0000,200,23.1026
0.0247,0.0078,0.0000,0.0001,0.0167,0.0000,200,23.1026
0.0249,0.0080,0.0000,0.0001,0.0168,0.0000,200,23.1025
0.0252,0.0081,0.0000,0.0000,0.0170,0.0001,200,23.1024
0.0306,0.0079,0.0000,0.0001,0.0226,0.0001,200,23.1026
0.0305,0.0079,0.0000,0.0000,0.0226,0.0000,200,23.1026
0.0305,0.0077,0.0000,0.0001,0.0226,0.0001,200,23.1027
0.0310,0.0078,0.0000,0.0000,0.0230,0.0000,200,23.1026
0.0311,0.0079,0.0000,0.0001,0.0230,0.0000,200,23.1025
0.0185,0.0066,0.0000,0.0000,0.0118,0.0001,200,23.2031
0.0185,0.0066,0.0000,0.0001,0.0118,0.0000,200,23.2032
0.0185,0.0066,0.0000,0.0000,0.0119,0.0000,200,23.2031
0.0188,0.0067,0.0000,0.0000,0.0120,0.0001,200,23.2031
0.0249,0.0066,0.0000,0.0000,0.0182,0.0001,200,23.2032
0.0276,0.0067,0.0000,0.0000,0.0208,0.0000,200,23.2031
0.0279,0.0069,0.0000,0.0001,0.0209,0.0000,200,23.2028
0.0276,0.0066,0.0000,0.0000,0.0209,0.0000,200,23.2031
0.0278,0.0068,0.0000,0.0001,0.0209,0.0001,200,23.2029
0.0289,0.0066,0.0000,0.0001,0.0221,0.0001,200,23.2030
0.0219,0.0081,0.0000,0.0000,0.0134,0.0003,200,23.3034
0.0222,0.0081,0.0000,0.0000,0.0140,0.0000,200,23.3033
0.0268,0.0079,0.0000,0.0000,0.0188,0.0001,200,23.3034
0.0282,0.0081,0.0000,0.0000,0.0200,0.0001,200,23.3034
0.0283,0.0081,0.0000,0.0000,0.0201,0.0001,200,23.3034
0.0285,0.0083,0.0000,0.0000,0.0201,0.0001,200,23.3032
0.0298,0.0081,0.0000,0.0000,0.0217,0.0000,200,23.3034
0.0300,0.0082,0.0000,0.0000,0.0218,0.0000,200,23.3032
0.0322,0.0082,0.0000,0.0001,0.0239,0.0000,200,23.3032
0.0320,0.0080,0.0000,0.0000,0.0239,0.0000,200,23.3034
0.0182,0.0068,0.0000,0.0000,0.0112,0.0001,200,23.4026
0.0214,0.0067,0.0000,0.0000,0.0147,0.0000,200,23.4029
0.0215,0.0067,0.0000,0.0000,0.0147,0.0000,200,23.4029
0.0250,0.0068,0.0000,0.0000,0.0181,0.0000,200,23.4028
0.0252,0.0067,0.0000,0.0000,0.0184,0.0000,200,23.4028
0.0253,0.0068,0.0000,0.0000,0.0184,0.0000,200,23.4028
0.0252,0.0065,0.0000,0.0001,0.0185,0.0000,200,23.4029
0.0295,0.0067,0.0000,0.0000,0.0227,0.0000,200,23.4029
0.0295,0.0067,0.0000,0.0000,0.0227,0.0000,200,23.4029
0.0297,0.0068,0.0000,0.0000,0.0228,0.0000,200,23.4028
0.0155,0.0066,0.0000,0.0001,0.0087,0.0001,200,23.5030
0.0212,0.0067,0.0000,0.0001,0.0143,0.0000,200,23.5030
0.0220,0.0067,0.0000,0.0001,0.0152,0.0000,200,23.5030
0.0233,0.0067,0.0000,0.0000,0.0166,0.0000,200,23.5031
0.0237,0.0066,0.0000,0.0001,0.0170,0.0000,200,23.5031
0.0254,0.0065,0.0000,0.0001,0.0187,0.0000,200,23.5032
0.0285,0.0068,0.0000,0.0001,0.0215,0.0000,200,23.5029
0.0283,0.0066,0.0000,0.0000,0.0217,0.0000,200,23.5032
0.0302,0.0067,0.0000,0.0000,0.0234,0.0000,200,23.5031
0.0302,0.0067,0.0000,0.0000,0.0234,0.0000,200,23.5031
0.0237,0.0064,0.0000,0.0000,0.0172,0.0001,200,23.6028
0.0241,0.0066,0.0000,0.0000,0.0173,0.0001,200,23.6025
0.0237,0.0063,0.0000,0.0000,0.0174,0.0000,200,23.6028
0.0239,0.0065,0.0000,0.0000,0.0173,0.0000,200,23.6027
0.0238,0.0064,0.0000,0.0000,0.0173,0.0000,200,23.6028
0.0307,0.0063,0.0000,0.0000,0.0244,0.0000,200,23.6028
0.0308,0.0064,0.0000,0.0000,0.0244,0.0000,200,23.6027
0.0309,0.0064,0.0000,0.0000,0.0245,0.0000,200,23.6029
0.0310,0.0063,0.0000,0.0001,0.0246,0.0000,200,23.6028
0.0337,0.0066,0.0000,0.0000,0.0271,0.0000,200,23.6026
0.0189,0.0071,0.0000,0.0001,0.0117,0.0001,200,23.7029
0.0237,0.0071,0.0000,0.0001,0.0164,0.0001,200,23.7029
0.0242,0.0073,0.0000,0.0000,0.0168,0.0001,200,23.7029
0.0269,0.0072,0.0000,0.0001,0.0196,0.0000,200,23.7029
0.0270,0.0073,0.0000,0.0001,0.0195,0.0000,200,23.7028
0.0270,0.0071,0.0000,0.0001,0.0198,0.0000,200,23.7029
0.0272,0.0073,0.0000,0.0000,0.0198,0.0000,200,23.7028
0.0287,0.0075,0.0000,0.0000,0.0211,0.0000,200,23.7026
0.0284,0.0071,0.0000,0.0001,0.0211,0.0000,200,23.7029
0.0332,0.0072,0.0000,0.0001,0.0259,0.0000,200,23.7029
0.0184,0.0081,0.0000,0.0000,0.0103,0.0001,200,23.8035
0.0186,0.0082,0.0000,0.0001,0.0103,0.0001,200,23.8033
0.0206,0.0079,0.0000,0.0000,0.0126,0.0000,200,23.8036
0.0206,0.0079,0.0000,0.0000,0.0127,0.0000,200,23.8036
0.0284,0.0079,0.0000,0.0000,0.0203,0.0000,200,23.8036
0.0283,0.0079,0.0000,0.0001,0.0203,0.0001,200,23.8036
0.0284,0.0080,0.0000,0.0000,0.0203,0.0000,200,23.8036
0.0284,0.0079,0.0000,0.0000,0.0204,0.0001,200,23.8036
0.0284,0.0079,0.0000,0.0000,0.0204,0.0000,200,23.8036
0.0307,0.0079,0.0000,0.0001,0.0227,0.0001,200,23.8037
0.0191,0.0074,0.0000,0.0000,0.0116,0.0000,200,23.9025
0.0192,0.0083,0.0000,0.0000,0.0109,0.0000,200,23.9025
0.0193,0.0076,0.0000,0.0000,0.0116,0.0000,200,23.9024
0.0205,0.0076,0.0000,0.0000,0.0128,0.0001,200,23.9024
0.0244,0.0083,0.0000,0.0000,0.0160,0.0001,200,23.9026
0.0274,0.0083,0.0000,0.0000,0.0191,0.0000,200,23.9026
0.0290,0.0082,0.0000,0.0000,0.0207,0.0001,200,23.9026
0.0298,0.0083,0.0000,0.0000,0.0214,0.0001,200,23.9025
0.0313,0.0130,0.0000,0.0000,0.0182,0.0000,200,23.9026
0.0343,0.0130,0.0000,0.0000,0.0212,0.0001,200,23.9026
0.0181,0.0066,0.0000,0.0000,0.0114,0.0001,200,24.0033
0.0190,0.0068,0.0000,0.0001,0.0120,0.0001,200,24.0031
0.0221,0.0068,0.0000,0.0000,0.0152,0.0000,200,24.0032
0.0226,0.0067,0.0000,0.0000,0.0158,0.0001,200,24.0033
0.0239,0.0068,0.0000,0.0000,0.0171,0.0000,200,24.0033
0.0252,0.0067,0.0000,0.0000,0.0185,0.0000,200,24.0033
0.0251,0.0067,0.0000,0.0000,0.0184,0.0001,200,24.0034
0.0252,0.0066,0.0000,0.0000,0.0185,0.0000,200,24.0033
0.0301,0.0066,0.0000,0.0001,0.0234,0.0000,200,24.0034
0.0309,0.0066,0.0000,0.0001,0.0242,0.0000,200,24.0034
0.0214,0.0076,0.0000,0.0000,0.0137,0.0001,200,24.1029
0.0211,0.0073,0.0000,0.0000,0.0137,0.0000,200,24.1033
0.0244,0.0075,0.0000,0.0001,0.0167,0.0000,200,24.1030
0.0247,0.0075,0.0000,0.0000,0.0171,0.0000,200,24.1032
0.0257,0.0077,0.0000,0.0000,0.0179,0.0000,200,24.1032
0.0264,0.0074,0.0000,0.0000,0.0189,0.0000,200,24.1032
0.0297,0.0082,0.0000,0.0000,0.0214,0.0000,200,24.1031
0.0297,0.0075,0.0000,0.0000,0.0221,0.0000,200,24.1031
0.0296,0.0074,0.0000,0.0001,0.0221,0.0000,200,24.1032
0.0297,0.0078,0.0000,0.0000,0.0218,0.0000,200,24.1033
0.0184,0.0069,0.0000,0.0000,0.0114,0.0001,200,24.2033
0.0225,0.0068,0.0000,0.0000,0.0156,0.0001,200,24.2033
0.0228,0.0068,0.0000,0.0000,0.0159,0.0001,200,24.2033
0.0227,0.0068,0.0000,0.0001,0.0158,0.0001,200,24.2033
0.0259,0.0070,0.0000,0.0000,0.0189,0.0000,200,24.2032
0.0258,0.0068,0.0000,0.0000,0.0189,0.0000,200,24.2033
0.0276,0.0069,0.0000,0.0000,0.0206,0.0000,200,24.2032
0.0280,0.0071,0.0000,0.0000,0.0208,0.0000,200,24.2031
0.0315,0.0070,0.0000,0.0000,0.0244,0.0001,200,24.2032
0.0314,0.0068,0.0000,0.0000,0.0246,0.0000,200,24.2034
0.0184,0.0070,0.0000,0.0000,0.0113,0.0001,200,24.3029
0.0184,0.0071,0.0000,0.0000,0.0113,0.0000,200,24.3029
0.0241,0.0073,0.0000,0.0000,0.0167,0.0000,200,24.3030
0.0268,0.0074,0.0000,0.0000,0.0194,0.0000,200,24.3031
0.0271,0.0073,0.0000,0.0000,0.0197,0.0000,200,24.3031
0.0343,0.0074,0.0000,0.0000,0.0269,0.0001,200,24.3031
0.0345,0.0073,0.0000,0.0000,0.0271,0.0001,200,24.3029
0.0344,0.0073,0.0000,0.0000,0.0270,0.0000,200,24.3031
0.0346,0.0075,0.0000,0.0000,0.0270,0.0000,200,24.3029
0.0345,0.0074,0.0000,0.0000,0.0271,0.0000,200,24.3030
0.0175,0.0058,0.0000,0.0000,0.0116,0.0001,200,24.4029
0.0177,0.0059,0.0000,0.0001,0.0116,0.0001,200,24.4028
0.0228,0.0059,0.0000,0.0000,0.0168,0.0001,200,24.4029
0.0228,0.0059,0.0000,0.0000,0.0169,0.0000,200,24.4028
0.0253,0.0059,0.0000,0.0000,0.0193,0.0000,200,24.4029
0.0255,0.0060,0.0000,0.0000,0.0194,0.0000,200,24.4027
0.0272,0.0060,0.0000,0.0000,0.0212,0.0000,200,24.4028
0.0273,0.0060,0.0000,0.0000,0.0212,0.0000,200,24.4027
0.0272,0.0059,0.0000,0.0000,0.0212,0.0000,200,24.4029
0.0274,0.0060,0.0000,0.0000,0.0213,0.0000,200,24.4028
0.0185,0.0066,0.0000,0.0000,0.0117,0.0001,200,24.5036
0.0197,0.0067,0.0000,0.0000,0.0130,0.0000,200,24.5036
0.0240,0.0065,0.0000,0.0000,0.0173,0.0000,200,24.5037
0.0241,0.0066,0.0000,0.0000,0.0174,0.0000,200,24.5036
0.0277,0.0066,0.0000,0.0000,0.0210,0.0000,200,24.5037
0.0277,0.0066,0.0000,0.0000,0.0211,0.0000,200,24.5037
0.0277,0.0065,0.0000,0.0001,0.0210,0.0001,200,24.5037
0.0280,0.0069,0.0000,0.0000,0.0211,0.0000,200,24.5034
0.0282,0.0071,0.0000,0.0000,0.0210,0.0000,200,24.5033
0.0279,0.0066,0.0000,0.0000,0.0211,0.0001,200,24.5037
0.0220,0.0114,0.0000,0.0000,0.0105,0.0000,200,24.6029
0.0237,0.0075,0.0000,0.0000,0.0161,0.0001,200,24.6028
0.0297,0.0112,0.0000,0.0000,0.0185,0.0001,200,24.6030
0.0298,0.0113,0.0000,0.0000,0.0183,0.0001,200,24.6029
0.0297,0.0113,0.0000,0.0000,0.0183,0.0001,200,24.6030
0.0299,0.0074,0.0000,0.0000,0.0225,0.0000,200,24.6028
0.0299,0.0073,0.0000,0.0000,0.0225,0.0001,200,24.6028
0.0298,0.0112,0.0000,0.0000,0.0185,0.0000,200,24.6030
0.0298,0.0115,0.0000,0.0000,0.0182,0.0000,200,24.6030
0.0374,0.0112,0.0000,0.0000,0.0261,0.0001,200,24.6030
0.0185,0.0069,0.0000,0.0000,0.0116,0.0001,200,24.7026
0.0186,0.0069,0.0000,0.0000,0.0116,0.0000,200,24.7026
0.0262,0.0069,0.0000,0.0000,0.0192,0.0000,200,24.7027
0.0263,0.0069,0.0000,0.0000,0.0193,0.0001,200,24.7027
0.0264,0.0070,0.0000,0.0000,0.0194,0.0000,200,24.7026
0.0264,0.0069,0.0000,0.0000,0.0194,0.0000,200,24.7026
0.0266,0.0071,0.0000,0.0000,0.0194,0.0001,200,24.7025
0.0266,0.0071,0.0000,0.0001,0.0194,0.0000,200,24.7025
0.0264,0.0069,0.0000,0.0000,0.0194,0.0000,200,24.7027
0.0265,0.0069,0.0000,0.0000,0.0195,0.0001,200,24.7027
0.0176,0.0072,0.0000,0.0000,0.0103,0.0001,200,24.8034
0.0214,0.0073,0.0000,0.0000,0.0139,0.0001,200,24.8034
0.0247,0.0073,0.0000,0.0000,0.0173,0.0000,200,24.8035
0.0249,0.0073,0.0000,0.0000,0.0176,0.0000,200,24.8033
0.0275,0.0073,0.0000,0.0000,0.0202,0.0000,200,24.8035
0.0276,0.0072,0.0000,0.0000,0.0203,0.0000,200,24.8035
0.0277,0.0072,0.0000,0.0000,0.0203,0.0001,200,24.8033
0.0276,0.0072,0.0000,0.0000,0.0202,0.0001,200,24.8035
0.0277,0.0073,0.0000,0.0000,0.0204,0.0000,200,24.8035
0.0279,0.0073,0.0000,0.0000,0.0205,0.0000,200,24.8033
0.0185,0.0083,0.0000,0.0001,0.0100,0.0001,200,24.9024
0.0215,0.0081,0.0000,0.0000,0.0133,0.0001,200,24.9026
0.0247,0.0082,0.0000,0.0000,0.0164,0.0001,200,24.9026
0.0249,0.0083,0.0000,0.0000,0.0165,0.0000,200,24.9024
0.0266,0.0083,0.0000,0.0000,0.0182,0.0001,200,24.9024
0.0270,0.0082,0.0000,0.0000,0.0187,0.0001,200,24.9026
0.0306,0.0083,0.0000,0.0001,0.0221,0.0001,200,24.9024
0.0305,0.0083,0.0000,0.0000,0.0220,0.0001,200,24.9026
0.0304,0.0082,0.0000,0.0000,0.0222,0.0000,200,24.9026
0.0314,0.0082,0.0000,0.0000,0.0231,0.0000,200,24.9025
0.0200,0.0089,0.0000,0.0000,0.0110,0.0001,200,25.0032
0.0252,0.0089,0.0000,0.0000,0.0163,0.0001,200,25.0032
0.0254,0.0081,0.0000,0.0000,0.0172,0.0001,200,25.0031
0.0253,0.0080,0.0000,0.0000,0.0173,0.0000,200,25.0032
0.0254,0.0082,0.0000,0.0000,0.0172,0.0000,200,25.0030
0.0253,0.0088,0.0000,0.0000,0.0164,0.0000,200,25.0032
0.0266,0.0089,0.0000,0.0000,0.0177,0.0000,200,25.0032
0.0300,0.0080,0.0000,0.0000,0.0219,0.0001,200,25.0031
0.0306,0.0088,0.0000,0.0000,0.0217,0.0000,200,25.0032
0.0307,0.0089,0.0000,0.0000,0.0217,0.0001,200,25.0032
0.0176,0.0075,0.0000,0.0000,0.0100,0.0001,200,25.1032
0.0216,0.0069,0.0000,0.0000,0.0146,0.0001,200,25.1032
0.0218,0.0070,0.0000,0.0000,0.0147,0.0000,200,25.1031
0.0228,0.0076,0.0000,0.0000,0.0151,0.0001,200,25.1033
0.0263,0.0074,0.0000,0.0000,0.0189,0.0000,200,25.1033
0.0263,0.0077,0.0000,0.0000,0.0185,0.0000,200,25.1033
0.0263,0.0074,0.0000,0.0000,0.0189,0.0001,200,25.1033
0.0264,0.0074,0.0000,0.0000,0.0190,0.0000,200,25.1032
0.0276,0.0078,0.0000,0.0000,0.0198,0.0000,200,25.1033
0.0295,0.0069,0.0000,0.0000,0.0225,0.0001,200,25.1032
0.0150,0.0039,0.0000,0.0000,0.0110,0.0000,200,25.2029
0.0183,0.0037,0.0000,0.0000,0.0145,0.0000,200,25.2030
0.0183,0.0041,0.0000,0.0000,0.0141,0.0000,200,25.2031
0.0192,0.0041,0.0000,0.0000,0.0151,0.0000,200,25.2030
0.0244,0.0041,0.0000,0.0000,0.0203,0.0000,200,25.2032
0.0245,0.0040,0.0000,0.0000,0.0204,0.0000,200,25.2031
0.0245,0.0040,0.0000,0.0000,0.0205,0.0000,200,25.2031
0.0270,0.0037,0.0000,0.0000,0.0231,0.0001,200,25.2030
0.0269,0.0041,0.0000,0.0000,0.0227,0.0000,200,25.2031
0.0270,0.0040,0.0000,0.0000,0.0228,0.0001,200,25.2031
0.0144,0.0054,0.0000,0.0000,0.0090,0.0001,200,25.3031
0.0216,0.0091,0.0000,0.0000,0.0124,0.0000,200,25.3033
0.0216,0.0091,0.0000,0.0000,0.0125,0.0000,200,25.3032
0.0224,0.0091,0.0000,0.0000,0.0133,0.0000,200,25.3033
0.0249,0.0091,0.0000,0.0000,0.0157,0.0000,200,25.3032
0.0278,0.0092,0.0000,0.0000,0.0186,0.0000,200,25.3031
0.0298,0.0092,0.0000,0.0000,0.0205,0.0001,200,25.3032
0.0297,0.0090,0.0000,0.0000,0.0206,0.0001,200,25.3033
0.0297,0.0090,0.0000,0.0000,0.0206,0.0001,200,25.3033
0.0298,0.0091,0.0000,0.0000,0.0206,0.0001,200,25.3032
0.0210,0.0071,0.0000,0.0000,0.0138,0.0001,200,25.4031
0.0209,0.0075,0.0000,0.0000,0.0133,0.0000,200,25.4033
0.0212,0.0074,0.0000,0.0000,0.0138,0.0000,200,25.4032
0.0230,0.0074,0.0000,0.0000,0.0156,0.0000,200,25.4032
0.0230,0.0074,0.0000,0.0000,0.0155,0.0000,200,25.4033
0.0267,0.0071,0.0000,0.0000,0.0194,0.0001,200,25.4031
0.0269,0.0072,0.0000,0.0000,0.0196,0.0000,200,25.4030
0.0267,0.0075,0.0000,0.0000,0.0191,0.0001,200,25.4032
0.0276,0.0075,0.0000,0.0000,0.0201,0.0000,200,25.4032
0.0288,0.0074,0.0000,0.0000,0.0213,0.0001,200,25.4033
0.0201,0.0074,0.0000,0.0000,0.0126,0.0001,200,25.5035
0.0203,0.0075,0.0000,0.0000,0.0127,0.0000,200,25.5034
0.0219,0.0075,0.0000,0.0000,0.0143,0.0001,200,25.5035
0.0250,0.0076,0.0000,0.0000,0.0173,0.0001,200,25.5034
0.0258,0.0075,0.0000,0.0000,0.0183,0.0001,200,25.5035
0.0324,0.0073,0.0000,0.0000,0.0250,0.0001,200,25.5033
0.0322,0.0074,0.0000,0.0000,0.0248,0.0000,200,25.5034
0.0323,0.0074,0.0000,0.0000,0.0248,0.0001,200,25.5035
0.0324,0.0075,0.0000,0.0000,0.0249,0.0000,200,25.5034
0.0325,0.0075,0.0000,0.0000,0.0250,0.0000,200,25.5033
0.0201,0.0070,0.0000,0.0000,0.0129,0.0001,200,25.6032
0.0205,0.0072,0.0000,0.0000,0.0133,0.0000,200,25.6031
0.0205,0.0070,0.0000,0.0000,0.0134,0.0000,200,25.6032
0.0216,0.0072,0.0000,0.0000,0.0142,0.0001,200,25.6032
0.0223,0.0071,0.0000,0.0000,0.0151,0.0000,200,25.6032
0.0235,0.0068,0.0000,0.0000,0.0166,0.0001,200,25.6031
0.0267,0.0068,0.0000,0.0000,0.0198,0.0000,200,25.6030
0.0291,0.0068,0.0000,0.0000,0.0222,0.0000,200,25.6031
0.0295,0.0072,0.0000,0.0000,0.0222,0.0001,200,25.6032
0.0295,0.0072,0.0000,0.0000,0.0222,0.0001,200,25.6032
0.0184,0.0083,0.0000,0.0000,0.0099,0.0001,200,25.7029
0.0185,0.0083,0.0000,0.0000,0.0101,0.0000,200,25.7030
0.0184,0.0098,0.0000,0.0000,0.0085,0.0000,200,25.7032
0.0227,0.0082,0.0000,0.0000,0.0145,0.0000,200,25.7031
0.0254,0.0099,0.0000,0.0000,0.0153,0.0000,200,25.7031
0.0254,0.0100,0.0000,0.0000,0.0153,0.0001,200,25.7032
0.0291,0.0099,0.0000,0.0000,0.0191,0.0001,200,25.7032
0.0291,0.0099,0.0000,0.0000,0.0191,0.0001,200,25.7032
0.0295,0.0101,0.0000,0.0000,0.0193,0.0001,200,25.7031
0.0304,0.0100,0.0000,0.0000,0.0202,0.0001,200,25.7031
0.0192,0.0066,0.0000,0.0000,0.0124,0.0001,200,25.8027
0.0218,0.0061,0.0000,0.0000,0.0155,0.0001,200,25.8032
0.0218,0.0063,0.0000,0.0000,0.0154,0.0001,200,25.8032
0.0220,0.0064,0.0000,0.0000,0.0155,0.0001,200,25.8031
0.0220,0.0062,0.0000,0.0000,0.0156,0.0001,200,25.8031
0.0248,0.0062,0.0000,0.0000,0.0186,0.0001,200,25.8032
0.0283,0.0063,0.0000,0.0000,0.0220,0.0000,200,25.8031
0.0283,0.0063,0.0000,0.0000,0.0219,0.0000,200,25.8031
0.0282,0.0063,0.0000,0.0000,0.0218,0.0001,200,25.8032
0.0282,0.0063,0.0000,0.0000,0.0219,0.0000,200,25.8032
0.0173,0.0072,0.0000,0.0000,0.0100,0.0001,200,25.9026
0.0213,0.0071,0.0000,0.0000,0.0141,0.0001,200,25.9028
0.0215,0.0073,0.0000,0.0000,0.0141,0.0000,200,25.9026
0.0213,0.0072,0.0000,0.0000,0.0141,0.0000,200,25.9028
0.0222,0.0071,0.0000,0.0000,0.0149,0.0001,200,25.9029
0.0253,0.0071,0.0000,0.0000,0.0181,0.0001,200,25.9028
0.0252,0.0071,0.0000,0.0000,0.0181,0.0001,200,25.9029
0.0267,0.0071,0.0000,0.0000,0.0195,0.0000,200,25.9027
0.0267,0.0071,0.0000,0.0000,0.0195,0.0000,200,25.9028
0.0301,0.0071,0.0000,0.0000,0.0230,0.0000,200,25.9029
0.0154,0.0040,0.0000,0.0000,0.0112,0.0001,200,26.0033
0.0166,0.0039,0.0000,0.0000,0.0126,0.0000,200,26.0035
0.0168,0.0040,0.0000,0.0000,0.0127,0.0000,200,26.0034
0.0171,0.0038,0.0000,0.0000,0.0132,0.0001,200,26.0035
0.0217,0.0039,0.0000,0.0000,0.0177,0.0000,200,26.0036
0.0219,0.0038,0.0000,0.0000,0.0180,0.0000,200,26.0035
0.0255,0.0039,0.0000,0.0000,0.0216,0.0000,200,26.0035
0.0254,0.0038,0.0000,0.0000,0.0216,0.0000,200,26.0036
0.0256,0.0039,0.0000,0.0000,0.0216,0.0001,200,26.0036
